edo_nom,sexo,grupo_edad,conteo
Nuevo León,Masculino,Jóvenes,737
Oaxaca,Femenino,Adolescentes,9
Oaxaca,Femenino,Adultos,7
Oaxaca,Femenino,Adultos mayores,0
Oaxaca,Femenino,Infancias,1
Oaxaca,Femenino,Jóvenes,7
Oaxaca,Indeterminado,Adolescentes,0
Oaxaca,Indeterminado,Adultos,0
Oaxaca,Indeterminado,Adultos mayores,0
Oaxaca,Indeterminado,Infancias,0
Oaxaca,Indeterminado,Jóvenes,0
Oaxaca,Masculino,Adolescentes,9
Oaxaca,Masculino,Adultos,20
Oaxaca,Masculino,Adultos mayores,5
Oaxaca,Masculino,Infancias,1
Oaxaca,Masculino,Jóvenes,28
Puebla,Femenino,Adolescentes,570
Puebla,Femenino,Adultos,93
Puebla,Femenino,Adultos mayores,38
Puebla,Femenino,Infancias,125
Puebla,Femenino,Jóvenes,282
Puebla,Indeterminado,Adolescentes,0
Puebla,Indeterminado,Adultos,1
Puebla,Indeterminado,Adultos mayores,0
Puebla,Indeterminado,Infancias,0
Puebla,Indeterminado,Jóvenes,0
Puebla,Masculino,Adolescentes,244
Puebla,Masculino,Adultos,289
Puebla,Masculino,Adultos mayores,116
Puebla,Masculino,Infancias,108
Puebla,Masculino,Jóvenes,433
Querétaro,Femenino,Adolescentes,52
Querétaro,Femenino,Adultos,21
Querétaro,Femenino,Adultos mayores,3
Querétaro,Femenino,Infancias,7
Querétaro,Femenino,Jóvenes,37
Querétaro,Indeterminado,Adolescentes,0
Querétaro,Indeterminado,Adultos,0
Querétaro,Indeterminado,Adultos mayores,0
Querétaro,Indeterminado,Infancias,0
Querétaro,Indeterminado,Jóvenes,0
Querétaro,Masculino,Adolescentes,44
Querétaro,Masculino,Adultos,60
Querétaro,Masculino,Adultos mayores,21
Querétaro,Masculino,Infancias,5
Querétaro,Masculino,Jóvenes,94
Quintana Roo,Femenino,Adolescentes,205
Quintana Roo,Femenino,Adultos,32
Quintana Roo,Femenino,Adultos mayores,8
Quintana Roo,Femenino,Infancias,7
Quintana Roo,Femenino,Jóvenes,64
Quintana Roo,Indeterminado,Adolescentes,0
Quintana Roo,Indeterminado,Adultos,0
Quintana Roo,Indeterminado,Adultos mayores,0
Quintana Roo,Indeterminado,Infancias,0
Quintana Roo,Indeterminado,Jóvenes,0
Quintana Roo,Masculino,Adolescentes,99
Quintana Roo,Masculino,Adultos,150
Quintana Roo,Masculino,Adultos mayores,32
Quintana Roo,Masculino,Infancias,7
Quintana Roo,Masculino,Jóvenes,225
San Luis Potosí,Femenino,Adolescentes,126
San Luis Potosí,Femenino,Adultos,27
San Luis Potosí,Femenino,Adultos mayores,6
San Luis Potosí,Femenino,Infancias,17
San Luis Potosí,Femenino,Jóvenes,50
San Luis Potosí,Indeterminado,Adolescentes,0
San Luis Potosí,Indeterminado,Adultos,0
San Luis Potosí,Indeterminado,Adultos mayores,0
San Luis Potosí,Indeterminado,Infancias,0
San Luis Potosí,Indeterminado,Jóvenes,0
San Luis Potosí,Masculino,Adolescentes,71
San Luis Potosí,Masculino,Adultos,87
San Luis Potosí,Masculino,Adultos mayores,46
San Luis Potosí,Masculino,Infancias,17
San Luis Potosí,Masculino,Jóvenes,150
Sinaloa,Femenino,Adolescentes,75
Sinaloa,Femenino,Adultos,46
Sinaloa,Femenino,Adultos mayores,6
Sinaloa,Femenino,Infancias,1
Sinaloa,Femenino,Jóvenes,68
Sinaloa,Indeterminado,Adolescentes,0
Sinaloa,Indeterminado,Adultos,0
Sinaloa,Indeterminado,Adultos mayores,0
Sinaloa,Indeterminado,Infancias,0
Sinaloa,Indeterminado,Jóvenes,0
Sinaloa,Masculino,Adolescentes,124
Sinaloa,Masculino,Adultos,392
Sinaloa,Masculino,Adultos mayores,51
Sinaloa,Masculino,Infancias,9
Sinaloa,Masculino,Jóvenes,634
Sonora,Femenino,Adolescentes,148
Sonora,Femenino,Adultos,61
Sonora,Femenino,Adultos mayores,10
Sonora,Femenino,Infancias,10
Sonora,Femenino,Jóvenes,98
Sonora,Indeterminado,Adolescentes,0
Sonora,Indeterminado,Adultos,0
Sonora,Indeterminado,Adultos mayores,0
Sonora,Indeterminado,Infancias,0
Sonora,Indeterminado,Jóvenes,1
Sonora,Masculino,Adolescentes,210
Sonora,Masculino,Adultos,381
Sonora,Masculino,Adultos mayores,59
Sonora,Masculino,Infancias,20
Sonora,Masculino,Jóvenes,577
Tabasco,Femenino,Adolescentes,18
